iter	Passed	Remaining
1150	4383	14658
1151	4387	14655
1152	4391	14651
1153	4394	14647
1154	4398	14643
1155	4402	14639
1156	4406	14635
1157	4410	14632
1158	4413	14628
1159	4417	14624
1160	4421	14620
1161	4425	14615
1162	4428	14612
1163	4432	14608
1164	4436	14604
1165	4440	14600
1166	4444	14597
1167	4448	14593
1168	4451	14589
1169	4455	14585
1170	4459	14582
1171	4463	14578
1172	4467	14574
1173	4471	14571
1174	4474	14567
1175	4478	14563
1176	4482	14559
1177	4486	14555
1178	4489	14551
1179	4493	14547
1180	4497	14543
1181	4501	14539
1182	4504	14535
1183	4508	14531
1184	4512	14527
1185	4516	14523
1186	4519	14519
1187	4523	14515
1188	4527	14511
1189	4531	14507
1190	4535	14503
1191	4538	14499
1192	4542	14495
1193	4546	14491
1194	4550	14487
1195	4553	14483
1196	4557	14479
1197	4561	14475
1198	4565	14471
1199	4569	14468
1200	4573	14465
1201	4576	14462
1202	4580	14457
1203	4584	14453
1204	4588	14450
1205	4592	14446
1206	4595	14442
1207	4599	14438
1208	4603	14434
1209	4607	14430
1210	4610	14426
1211	4614	14422
1212	4618	14418
1213	4621	14414
1214	4625	14410
1215	4629	14406
1216	4633	14402
1217	4637	14398
1218	4641	14395
1219	4644	14391
1220	4648	14388
1221	4652	14384
1222	4660	14393
1223	4664	14391
1224	4669	14390
1225	4673	14386
1226	4677	14382
1227	4680	14378
1228	4684	14373
1229	4688	14369
1230	4692	14365
1231	4695	14361
1232	4699	14357
1233	4703	14353
1234	4707	14349
1235	4710	14345
1236	4714	14341
1237	4718	14337
1238	4721	14333
1239	4725	14329
1240	4728	14322
1241	4731	14315
1242	4734	14311
1243	4738	14308
1244	4742	14304
1245	4746	14300
1246	4750	14297
1247	4753	14290
1248	4757	14286
1249	4760	14282
1250	4764	14278
1251	4768	14275
1252	4772	14271
1253	4776	14267
1254	4779	14263
1255	4783	14260
1256	4787	14256
1257	4791	14253
1258	4795	14249
1259	4799	14246
1260	4802	14239
1261	4806	14235
1262	4809	14229
1263	4811	14222
1264	4815	14219
1265	4819	14215
1266	4823	14212
1267	4826	14205
1268	4830	14202
1269	4833	14195
1270	4837	14192
1271	4841	14188
1272	4845	14185
1273	4849	14182
1274	4853	14178
1275	4857	14175
1276	4861	14173
1277	4865	14170
1278	4869	14166
1279	4873	14162
1280	4877	14159
1281	4881	14155
1282	4885	14152
1283	4889	14149
1284	4892	14145
1285	4896	14142
1286	4900	14138
1287	4904	14135
1288	4908	14131
1289	4912	14128
1290	4916	14124
1291	4920	14121
1292	4924	14118
1293	4928	14115
1294	4932	14111
1295	4936	14108
1296	4940	14104
1297	4944	14101
1298	4948	14097
1299	4951	14093
1300	4955	14089
1301	4959	14085
1302	4963	14081
1303	4969	14085
1304	4973	14082
1305	4977	14078
1306	4981	14074
1307	4984	14070
1308	4988	14066
1309	4992	14062
1310	4996	14059
1311	5000	14055
1312	5004	14051
1313	5007	14047
1314	5011	14044
1315	5015	14040
1316	5019	14036
1317	5023	14032
1318	5026	14028
1319	5030	14025
1320	5034	14021
1321	5038	14017
1322	5042	14013
1323	5045	14009
1324	5049	14006
1325	5053	14002
1326	5057	13998
1327	5061	13994
1328	5065	13990
1329	5068	13987
1330	5072	13983
1331	5076	13979
1332	5080	13976
1333	5084	13972
1334	5088	13969
1335	5092	13965
1336	5095	13961
1337	5099	13957
1338	5103	13953
1339	5107	13949
1340	5111	13946
1341	5114	13942
1342	5118	13938
1343	5122	13934
1344	5126	13930
1345	5130	13927
1346	5134	13923
1347	5137	13919
1348	5141	13915
1349	5145	13911
1350	5149	13908
1351	5153	13904
1352	5157	13900
1353	5160	13896
1354	5164	13893
1355	5168	13889
1356	5172	13885
1357	5176	13881
1358	5180	13878
1359	5183	13874
1360	5187	13870
1361	5191	13867
1362	5195	13863
1363	5199	13859
1364	5203	13855
1365	5206	13851
1366	5210	13848
1367	5214	13844
1368	5218	13840
1369	5222	13837
1370	5226	13833
1371	5229	13829
1372	5233	13825
1373	5237	13821
1374	5241	13817
1375	5245	13813
1376	5248	13810
1377	5252	13806
1378	5256	13802
1379	5260	13798
1380	5264	13794
1381	5267	13791
1382	5271	13787
1383	5275	13783
1384	5279	13779
1385	5283	13776
1386	5286	13772
1387	5290	13768
1388	5295	13765
1389	5298	13761
1390	5301	13754
1391	5303	13746
1392	5306	13739
1393	5310	13735
1394	5312	13728
1395	5315	13721
1396	5319	13718
1397	5321	13711
1398	5325	13707
1399	5329	13704
1400	5333	13701
1401	5337	13697
1402	5340	13690
1403	5344	13687
1404	5347	13683
1405	5351	13680
1406	5355	13676
1407	5358	13669
1408	5362	13666
1409	5366	13662
1410	5369	13659
1411	5373	13655
1412	5377	13651
1413	5381	13648
1414	5385	13644
1415	5389	13641
1416	5393	13637
1417	5397	13633
1418	5401	13630
1419	5404	13626
1420	5408	13623
1421	5412	13619
1422	5416	13616
1423	5420	13612
1424	5424	13608
1425	5428	13604
1426	5431	13600
1427	5435	13596
1428	5439	13592
1429	5443	13589
1430	5446	13585
1431	5450	13581
1432	5454	13577
1433	5458	13573
1434	5462	13569
1435	5465	13565
1436	5469	13562
1437	5473	13558
1438	5477	13554
1439	5481	13550
1440	5485	13546
1441	5488	13543
1442	5492	13539
1443	5496	13535
1444	5500	13531
1445	5504	13527
1446	5507	13524
1447	5511	13520
1448	5515	13516
1449	5519	13512
1450	5522	13508
1451	5526	13504
1452	5530	13501
1453	5534	13497
1454	5538	13494
1455	5542	13490
1456	5546	13486
1457	5550	13482
1458	5553	13479
1459	5557	13475
1460	5561	13471
1461	5565	13467
1462	5569	13463
1463	5572	13460
1464	5576	13456
1465	5580	13452
1466	5584	13448
1467	5587	13444
1468	5591	13440
1469	5595	13436
1470	5599	13432
1471	5603	13428
1472	5606	13425
1473	5610	13421
1474	5614	13417
1475	5618	13413
1476	5622	13410
1477	5626	13406
1478	5629	13402
1479	5633	13398
1480	5637	13394
1481	5641	13391
1482	5645	13387
1483	5648	13383
1484	5652	13379
1485	5656	13376
1486	5660	13372
1487	5663	13368
1488	5667	13364
1489	5671	13360
1490	5675	13356
1491	5678	13352
1492	5682	13348
1493	5686	13344
1494	5690	13340
1495	5694	13336
1496	5697	13332
1497	5701	13329
1498	5705	13325
1499	5709	13321
1500	5712	13317
1501	5716	13313
1502	5720	13309
1503	5724	13305
1504	5727	13301
1505	5732	13298
1506	5736	13295
1507	5739	13291
1508	5743	13287
1509	5747	13283
1510	5750	13279
1511	5754	13275
1512	5758	13271
1513	5762	13267
1514	5766	13263
1515	5769	13260
1516	5773	13256
1517	5777	13252
1518	5781	13249
1519	5785	13245
1520	5789	13241
1521	5792	13237
1522	5796	13233
1523	5800	13230
1524	5804	13226
1525	5808	13222
1526	5811	13218
1527	5815	13214
1528	5819	13210
1529	5823	13206
1530	5826	13203
1531	5830	13199
1532	5834	13195
1533	5838	13191
1534	5842	13187
1535	5846	13184
1536	5849	13180
1537	5853	13176
1538	5857	13172
1539	5861	13168
1540	5865	13165
1541	5868	13161
1542	5872	13157
1543	5876	13153
1544	5880	13149
1545	5883	13145
1546	5887	13141
1547	5891	13138
1548	5895	13134
1549	5899	13130
1550	5902	13126
1551	5906	13122
1552	5910	13118
1553	5914	13115
1554	5918	13111
1555	5922	13107
1556	5925	13103
1557	5929	13099
1558	5933	13096
1559	5937	13092
1560	5941	13089
1561	5945	13085
1562	5949	13081
1563	5952	13077
1564	5956	13073
1565	5960	13069
1566	5964	13066
1567	5968	13062
1568	5971	13058
1569	5975	13054
1570	5979	13050
1571	5982	13046
1572	5986	13042
1573	5990	13038
1574	5994	13035
1575	5998	13032
1576	6002	13028
1577	6006	13025
1578	6010	13021
1579	6013	13017
1580	6017	13013
1581	6021	13009
1582	6025	13005
1583	6029	13002
1584	6032	12998
1585	6036	12994
1586	6040	12990
1587	6044	12986
1588	6048	12983
1589	6052	12979
1590	6055	12975
1591	6059	12971
1592	6063	12967
1593	6067	12964
1594	6071	12960
1595	6074	12956
1596	6078	12952
1597	6082	12949
1598	6086	12945
1599	6090	12941
1600	6093	12937
1601	6097	12933
1602	6101	12929
1603	6105	12925
1604	6108	12922
1605	6112	12918
1606	6116	12914
1607	6120	12910
1608	6123	12906
1609	6127	12902
1610	6131	12898
1611	6135	12894
1612	6139	12891
1613	6142	12887
1614	6146	12883
1615	6150	12879
1616	6154	12875
1617	6158	12872
1618	6162	12868
1619	6165	12864
1620	6169	12860
1621	6173	12856
1622	6176	12852
1623	6180	12848
1624	6184	12844
1625	6188	12841
1626	6192	12838
1627	6196	12834
1628	6200	12830
1629	6203	12826
1630	6207	12822
1631	6211	12819
1632	6215	12815
1633	6219	12811
1634	6223	12807
1635	6226	12804
1636	6230	12799
1637	6234	12795
1638	6237	12791
1639	6241	12787
1640	6245	12784
1641	6249	12780
1642	6253	12776
1643	6256	12772
1644	6260	12768
1645	6266	12768
1646	6270	12764
1647	6273	12761
1648	6277	12757
1649	6281	12753
1650	6285	12749
1651	6289	12745
1652	6292	12741
1653	6296	12738
1654	6300	12734
1655	6304	12730
1656	6308	12726
1657	6312	12723
1658	6315	12719
1659	6319	12715
1660	6323	12711
1661	6327	12707
1662	6330	12703
1663	6334	12699
1664	6338	12695
1665	6342	12692
1666	6345	12687
1667	6349	12684
1668	6353	12680
1669	6357	12676
1670	6361	12672
1671	6364	12668
1672	6368	12664
1673	6372	12661
1674	6376	12657
1675	6380	12653
1676	6383	12649
1677	6387	12645
1678	6391	12641
1679	6395	12638
1680	6399	12634
1681	6402	12630
1682	6406	12626
1683	6410	12623
1684	6414	12619
1685	6418	12615
1686	6421	12611
1687	6425	12608
