iter	Passed	Remaining
1036	1340	5122
1037	1341	5119
1038	1342	5117
1039	1343	5115
1040	1345	5115
1041	1346	5113
1042	1347	5112
1043	1348	5110
1044	1349	5108
1045	1350	5105
1046	1351	5103
1047	1352	5102
1048	1354	5099
1049	1355	5097
1050	1356	5095
1051	1357	5094
1052	1358	5092
1053	1359	5090
1054	1360	5088
1055	1361	5086
1056	1362	5084
1057	1364	5082
1058	1365	5080
1059	1366	5078
1060	1367	5076
1061	1368	5074
1062	1369	5073
1063	1370	5071
1064	1372	5069
1065	1373	5067
1066	1374	5065
1067	1375	5063
1068	1376	5061
1069	1377	5060
1070	1379	5058
1071	1380	5056
1072	1381	5054
1073	1382	5052
1074	1383	5050
1075	1384	5048
1076	1385	5047
1077	1386	5045
1078	1388	5043
1079	1389	5041
1080	1390	5039
1081	1391	5037
1082	1392	5036
1083	1393	5034
1084	1394	5032
1085	1395	5030
1086	1396	5028
1087	1398	5026
1088	1399	5024
1089	1400	5022
1090	1401	5021
1091	1402	5020
1092	1403	5017
1093	1404	5015
1094	1406	5014
1095	1407	5013
1096	1408	5011
1097	1409	5009
1098	1410	5007
1099	1411	5005
1100	1412	5003
1101	1414	5001
1102	1415	4999
1103	1416	4997
1104	1417	4996
1105	1418	4994
1106	1419	4992
1107	1420	4990
1108	1421	4988
1109	1422	4986
1110	1424	4985
1111	1425	4983
1112	1426	4981
1113	1427	4979
1114	1428	4978
1115	1429	4976
1116	1431	4975
1117	1432	4973
1118	1433	4971
1119	1434	4969
1120	1435	4967
1121	1436	4965
1122	1437	4964
1123	1439	4962
1124	1440	4960
1125	1441	4958
1126	1442	4957
1127	1444	4959
1128	1446	4958
1129	1447	4957
1130	1448	4955
1131	1449	4953
1132	1450	4951
1133	1451	4949
1134	1452	4947
1135	1454	4945
1136	1455	4944
1137	1456	4942
1138	1457	4942
1139	1459	4940
1140	1460	4938
1141	1461	4936
1142	1462	4935
1143	1463	4933
1144	1464	4931
1145	1465	4929
1146	1466	4927
1147	1468	4926
1148	1469	4924
1149	1470	4923
1150	1471	4922
1151	1472	4920
1152	1474	4918
1153	1475	4916
1154	1476	4914
1155	1477	4913
1156	1478	4911
1157	1479	4909
1158	1480	4907
1159	1482	4905
1160	1483	4903
